win_idx,win_start,packet_count,tcp_count,udp_count,icmp_count,syn_count,ack_count,fin_count,psh_count,rst_count,total_bytes,avg_packet_size,mean_time_diff,std_time_diff,unique_src,unique_dst,unique_src_ports,unique_dst_ports,src_entropy,dst_entropy,syn_ratio,tcp_ratio,avg_bytes_per_packet
52,52.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5132647494999993,0.513247416499997,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
53,53.0,2,0,0,2,0,0,0,0,0,236,118.0,0.511261149500001,0.5112516014999997,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
54,54.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5004826339999973,0.500474588999996,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
55,55.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5231637770000006,0.5231528959999991,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
56,56.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118814900000004,0.5118647780000032,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
57,57.0,5,0,0,2,0,0,0,0,0,473,94.6,0.31897095500000033,0.4161365262289249,2,2,0,0,0.6730116670072565,0.6730116670072565,0.0,0.0,94.6
58,58.0,5,0,0,2,0,0,0,0,0,1081,216.2,0.09061210839999916,0.13586130549120143,2,2,0,0,0.6730116670072565,0.6730116670072565,0.0,0.0,216.2
59,59.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121133069999999,0.512101684000001,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
60,60.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5122675170000015,0.5122568759999986,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
61,61.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120289824999986,0.5120199955000047,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
62,62.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5117178835000011,0.5117092164999981,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
63,63.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118790140000016,0.5118530339999978,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
64,64.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121878259999981,0.5121790389999994,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
65,65.0,2,0,0,2,0,0,0,0,0,236,118.0,0.512239012000002,0.512230185,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
66,66.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5117405760000011,0.5117312889999894,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
67,67.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118098049999986,0.5118004679999899,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
68,68.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5136007105000004,0.5135901404999998,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
69,69.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5105545819999975,0.5105370879999924,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
70,70.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5117647355000017,0.5117555484999983,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
71,71.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5125765359999974,0.5125540740000076,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
72,72.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5115533560000003,0.5115437779999965,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
73,73.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120540389999988,0.5120432280000031,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
74,74.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121075059999995,0.5120958240000064,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
75,75.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5123120775000061,0.5123007654999938,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
76,76.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5115917339999996,0.5115797719999975,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
77,77.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121282209999976,0.5121172599999966,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
78,78.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5119245429999992,0.5119144940000027,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
79,79.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5216965859999974,0.5216879300000059,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
80,80.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5026725790000057,0.5026610569999974,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
81,81.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118845410000006,0.5118736000000013,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
83,83.0,2,0,0,2,0,0,0,0,0,236,118.0,0.511804317499994,0.5117932364999973,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
84,84.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5136996295000031,0.5136826875000011,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
