ts,ip,port,reason,features
1759683993,127.0.0.1,54401,rf+rule,"{'win_idx': 1759683990, 'win_start': 1759683990.9654305, 'packet_count': 2944, 'tcp_count': 2944, 'udp_count': 0, 'icmp_count': 0, 'syn_count': 0, 'ack_count': 0, 'fin_count': 0, 'psh_count': 0, 'rst_count': 0, 'total_bytes': 3014656, 'avg_packet_size': 1024.0, 'mean_time_diff': 0.0006793602526370174, 'std_time_diff': 0.0004467133442026727, 'unique_src': 2944, 'unique_dst': 1, 'unique_src_ports': 2944, 'unique_dst_ports': 2944, 'src_entropy': 7.987524476905216, 'dst_entropy': -1.000088900581841e-12, 'syn_ratio': 0.0, 'tcp_ratio': 1.0, 'avg_bytes_per_packet': 1024.0}"
1759684117,127.0.0.1,61748,rf+rule,"{'win_idx': 1759684101, 'win_start': 1759684101.313664, 'packet_count': 61, 'tcp_count': 61, 'udp_count': 0, 'icmp_count': 0, 'syn_count': 0, 'ack_count': 0, 'fin_count': 0, 'psh_count': 0, 'rst_count': 0, 'total_bytes': 62464, 'avg_packet_size': 1024.0, 'mean_time_diff': 0.00221937894821167, 'std_time_diff': 0.011535935718276748, 'unique_src': 61, 'unique_dst': 1, 'unique_src_ports': 61, 'unique_dst_ports': 61, 'src_entropy': 4.110873864112308, 'dst_entropy': -1.000088900581841e-12, 'syn_ratio': 0.0, 'tcp_ratio': 1.0, 'avg_bytes_per_packet': 1024.0}"
1760046964,127.0.0.1,64920,rf+rule,"{'win_idx': 1760046962, 'win_start': 1760046962.4096966, 'packet_count': 324, 'tcp_count': 324, 'udp_count': 0, 'icmp_count': 0, 'syn_count': 0, 'ack_count': 0, 'fin_count': 0, 'psh_count': 0, 'rst_count': 0, 'total_bytes': 331776, 'avg_packet_size': 1024.0, 'mean_time_diff': 0.0020801666720363745, 'std_time_diff': 0.018540753207237567, 'unique_src': 324, 'unique_dst': 1, 'unique_src_ports': 324, 'unique_dst_ports': 324, 'src_entropy': 5.780743515468311, 'dst_entropy': -1.000088900581841e-12, 'syn_ratio': 0.0, 'tcp_ratio': 1.0, 'avg_bytes_per_packet': 1024.0}"
1760049332,127.0.0.1,59355,rf+rule,"{'win_idx': 1760049323, 'win_start': 1760049323.3782523, 'packet_count': 500, 'tcp_count': 500, 'udp_count': 0, 'icmp_count': 0, 'syn_count': 0, 'ack_count': 0, 'fin_count': 0, 'psh_count': 0, 'rst_count': 0, 'total_bytes': 512000, 'avg_packet_size': 1024.0, 'mean_time_diff': 0.001477988783964413, 'std_time_diff': 0.016967456687440527, 'unique_src': 500, 'unique_dst': 1, 'unique_src_ports': 500, 'unique_dst_ports': 500, 'src_entropy': 6.214608097922182, 'dst_entropy': -1.000088900581841e-12, 'syn_ratio': 0.0, 'tcp_ratio': 1.0, 'avg_bytes_per_packet': 1024.0}"
1760049333,127.0.0.1,63857,rf+rule,"{'win_idx': 1760049331, 'win_start': 1760049331.3782523, 'packet_count': 1547, 'tcp_count': 1547, 'udp_count': 0, 'icmp_count': 0, 'syn_count': 0, 'ack_count': 0, 'fin_count': 0, 'psh_count': 0, 'rst_count': 0, 'total_bytes': 1584128, 'avg_packet_size': 1024.0, 'mean_time_diff': 0.000825884888119716, 'std_time_diff': 0.007019473627563889, 'unique_src': 1547, 'unique_dst': 1, 'unique_src_ports': 1547, 'unique_dst_ports': 1547, 'src_entropy': 7.344072849025822, 'dst_entropy': -1.000088900581841e-12, 'syn_ratio': 0.0, 'tcp_ratio': 1.0, 'avg_bytes_per_packet': 1024.0}"
1760049335,127.0.0.1,64014,rf+rule,"{'win_idx': 1760049333, 'win_start': 1760049333.3782523, 'packet_count': 2370, 'tcp_count': 2370, 'udp_count': 0, 'icmp_count': 0, 'syn_count': 0, 'ack_count': 0, 'fin_count': 0, 'psh_count': 0, 'rst_count': 0, 'total_bytes': 2426880, 'avg_packet_size': 1024.0, 'mean_time_diff': 0.000841201232324023, 'std_time_diff': 0.006118535491230272, 'unique_src': 2370, 'unique_dst': 1, 'unique_src_ports': 2370, 'unique_dst_ports': 2370, 'src_entropy': 7.770645231759338, 'dst_entropy': -1.000088900581841e-12, 'syn_ratio': 0.0, 'tcp_ratio': 1.0, 'avg_bytes_per_packet': 1024.0}"
